Disease/Trait (PheGenI),Main categories (PheGenI),Entries utilized in this study,Ensembl ID,GWAS eGene ID,Ensembl gene category,Ensembl biotype,Genomic location of transcript,Mean expression in classical monocytes (TPM),Mean expression in non-classical monocytes (TPM),"Mean expression in
NK cells (TPM)",Mean expression in naïve B cells (TPM),Mean expression in naïve CD4+ T cells (TPM),Mean expression in naïve CD8+ T cells (TPM),"Mean expression in activated naïve
CD4+ T cells (TPM)","Mean expression in activated naïve
CD8+ T cells (TPM)",Mean expression in naïve TREG cells (TPM),Mean expression in memory TREG cells (TPM),"Mean expression in
TH1 cells (TPM)",Mean expression in TH1/17 cells (TPM),"Mean expression in
TH17 cells (TPM)","Mean expression in
TH2 cells (TPM)","Mean expression in
TFH cells (TPM)","Adj. association P value in
classical monocytes","Adj. association P value in
non-classical monocytes","Adj. association P value in
NK cells","Adj. association P value in
naïve B cells","Adj.association P value in
naïve CD4+ T cells","Adj. association P value in
naïve CD8+ T cells",Adj. association P value in activated naïve CD4+ T cells,Adj. association P value in activated naïve CD8+ T cells,"Adj. association P value in
naïve TREG cells","Adj. association P value in
memory TREG cells","Adj. association P value in
TH1 cells","Adj. association P value in
TH1/17 cells","Adj.association P value in
TH17 cells","Adj. association P value in
TH2 cells","Adj. association P value in
TFH cells",Count of cell types with GWAS eGenes
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000237854.3,LINC00674,pseudogene,Pseudogene,"chr17:66,098,049-66,111,659",5.5,4.5,12.9,10.4,8,6.6,2.2,2.9,10.1,7,7.6,6.6,6.4,8,7.2,7.09E-06,3.23E-07,N/A,N/A,7.90E-05,1.87E-06,N/A,2.91E-06,3.67E-05,5.99E-07,3.76E-04,5.02E-04,8.37E-10,4.94E-06,1.24E-09,12
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000241106.2,HLA-DOB,protein coding,Protein-coding transcript,"chr6:32,780,540-32,784,825",6,10.7,17.2,235.2,17.7,18.2,6,9.1,14.6,17.9,11.5,10.6,11.2,11.3,12.4,7.76E-11,3.64E-12,9.98E-12,5.85E-03,3.14E-12,4.63E-12,3.02E-10,1.56E-10,1.18E-11,4.30E-12,2.27E-10,8.89E-12,1.34E-11,8.45E-12,3.43E-12,15
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000267023.1,LRRC37A16P,pseudogene,Pseudogene,"chr17:66,121,918-66,148,609",14.9,11.1,33.7,27,25.5,20.8,8.2,9.8,28.6,17.7,21.2,22.2,20.5,25.6,19.5,4.56E-18,1.72E-17,N/A,7.76E-04,5.12E-12,4.17E-11,5.34E-10,1.08E-11,1.40E-12,4.27E-12,2.49E-11,4.49E-12,6.48E-16,3.62E-12,1.71E-16,14
Adenocarcinoma of lung,Neoplasms,Cancer,ENSG00000267352.1,SH3GL1P3,pseudogene,Pseudogene,"chr17:66,130,816-66,131,745",9.5,6.1,30,14.5,16.1,18.5,2.5,3.5,27.1,28.1,25.3,15.4,19.4,23,27.6,1.50E-06,1.26E-04,N/A,N/A,N/A,6.40E-04,N/A,N/A,2.79E-03,1.15E-04,N/A,N/A,1.26E-04,1.44E-02,1.27E-10,8
Adiponectin,Chemicals and drugs,N/A,ENSG00000055955.11,ITIH4,protein coding,Protein-coding transcript,"chr3:52,846,991-52,865,495",1.2,2,1,1.1,1.3,1.3,0.3,0.3,1.9,3.2,1.9,1.5,1.9,1.7,2,1.32E-04,5.18E-04,N/A,N/A,1.21E-02,2.26E-03,N/A,N/A,1.84E-04,2.27E-02,N/A,N/A,4.58E-02,2.89E-02,2.38E-02,9
Adiponectin,Chemicals and drugs,N/A,ENSG00000114854.3,TNNC1,protein coding,Protein-coding transcript,"chr3:52,485,118-52,488,086",0.1,0,0.7,2.2,7.5,10.2,4.5,5.5,8,5.8,5.6,3.9,5.5,5.5,7.7,N/A,N/A,N/A,N/A,3.02E-02,N/A,N/A,N/A,9.10E-04,N/A,N/A,N/A,N/A,N/A,N/A,2
Adiponectin,Chemicals and drugs,N/A,ENSG00000114902.9,SPCS1,protein coding,Protein-coding transcript,"chr3:52,738,971-52,742,182",66.9,73,72.7,49.6,82.5,78.5,89.8,100,69.9,65.6,74.6,90.3,85.7,85.4,66.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.91E-02,N/A,1
Adiponectin,Chemicals and drugs,N/A,ENSG00000162267.8,ITIH3,protein coding,Protein-coding transcript,"chr3:52,828,784-52,843,025",0.7,0.5,0.4,0.5,1,0.8,0.3,0.2,1.7,1.7,1.3,0.8,1,1.1,1.3,N/A,N/A,N/A,N/A,3.20E-05,N/A,N/A,N/A,8.23E-07,2.82E-09,N/A,N/A,3.01E-03,1.66E-02,3.76E-03,6
Adiponectin,Chemicals and drugs,N/A,ENSG00000163918.6,RFC4,protein coding,Protein-coding transcript,"chr3:186,507,669-186,524,847",4.3,10.4,26.6,21.7,23.5,22.4,13.1,16.4,24.3,24.4,19.4,19.8,20.1,20.7,17.5,4.61E-03,1.11E-03,3.22E-02,8.92E-05,5.25E-08,3.10E-10,N/A,N/A,2.92E-06,8.16E-05,8.01E-04,1.91E-05,4.84E-05,4.70E-05,7.01E-07,13
Adiponectin,Chemicals and drugs,N/A,ENSG00000163939.14,PBRM1,protein coding,Protein-coding transcript,"chr3:52,579,368-52,719,933",31,46.2,58.3,52.7,59.7,49.3,88.6,79.5,57.3,44.5,50,56.2,51.3,56.4,50.2,N/A,N/A,N/A,N/A,N/A,N/A,7.42E-07,7.04E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Adiponectin,Chemicals and drugs,N/A,ENSG00000164088.13,PPM1M,protein coding,Protein-coding transcript,"chr3:52,279,841-52,284,613",70.5,79.1,103.1,21.6,85.3,114.9,33.2,40.6,49.1,112.6,75.7,56.8,93.3,86.1,101.5,N/A,N/A,2.11E-03,N/A,4.26E-06,2.18E-07,N/A,N/A,6.95E-12,3.87E-05,6.49E-03,1.83E-05,9.78E-07,2.56E-05,1.78E-05,10
Adiponectin,Chemicals and drugs,N/A,ENSG00000168268.6,NT5DC2,protein coding,Protein-coding transcript,"chr3:52,558,386-52,569,070",2.9,0.1,0.6,0.4,0.5,1,1.4,4.1,0.5,1.2,0.7,0.8,1.1,1.5,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.56E-09,N/A,N/A,9.51E-17,8.28E-12,N/A,3
Adiponectin,Chemicals and drugs,N/A,ENSG00000243224.1,RP5-1157M23.2,antisense,lncRNA,"chr3:52,273,274-52,275,113",0.8,1,2.6,1.4,4.3,4.4,1.2,1,3.1,2.9,2.5,2.3,2.8,2.7,2.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.70E-02,N/A,1
Adiponectin,Chemicals and drugs,N/A,ENSG00000243696.4,RP5-966M1.6,protein coding,Protein-coding transcript,"chr3:52,847,298-52,869,745",18.5,31.8,17,13.9,15.8,15.7,4.3,3.6,22,45.2,27.3,22.7,28.2,24.8,26.7,2.46E-07,4.46E-08,2.38E-02,7.40E-04,2.87E-06,7.48E-03,3.59E-08,4.18E-06,1.26E-05,1.29E-07,1.00E-02,2.25E-03,4.09E-04,2.17E-02,2.03E-05,15
Adipose tissue,Anatomy,N/A,ENSG00000143379.8,SETDB1,protein coding,Protein-coding transcript,"chr1:150,898,739-150,937,213",22.7,32,29.7,37.7,31.5,32.4,18.6,24.7,29.9,24.6,25.3,22.6,22,23.3,24.9,N/A,N/A,N/A,N/A,N/A,1.87E-02,N/A,N/A,N/A,N/A,N/A,N/A,8.19E-03,N/A,N/A,2
